Timestamp,File,Model,Prediction,Confidence,Latency (ms)
2025-09-06 13:00:09.272467,eeg_high_1.csv,CNN,High Load,1.0,1431.2989711761475
2025-09-06 13:00:10.500343,eeg_high_1.csv,CNN,High Load,1.0,1225.8682250976562
2025-09-06 13:00:11.556980,eeg_high_1.csv,CNN,High Load,1.0,1056.6363334655762
2025-09-06 13:00:12.563396,eeg_high_1.csv,CNN,High Load,1.0,1006.4167976379395
2025-09-06 13:00:13.619628,eeg_high_1.csv,CNN,High Load,1.0,1055.6719303131104
2025-09-06 13:00:14.558395,eeg_high_1.csv,CNN,High Load,1.0,938.7671947479248
2025-09-06 13:00:15.728706,eeg_high_1.csv,CNN,High Load,1.0,1170.3107357025146
2025-09-06 13:00:16.648068,eeg_high_1.csv,CNN,High Load,1.0,918.694019317627
2025-09-06 13:00:17.631709,eeg_high_1.csv,CNN,High Load,1.0,982.5811386108398
2025-09-06 13:00:18.586187,eeg_high_1.csv,CNN,High Load,1.0,953.6318778991699
2025-09-06 13:00:19.545247,eeg_high_1.csv,CNN,High Load,1.0,959.0601921081543
2025-09-06 13:00:20.757071,eeg_high_1.csv,CNN,High Load,1.0,1196.932077407837
2025-09-06 13:00:22.345834,eeg_high_1.csv,CNN,High Load,1.0,1588.7629985809326
2025-09-06 13:00:23.554854,eeg_high_1.csv,CNN,High Load,1.0,1209.0206146240234
2025-09-06 13:00:24.644495,eeg_high_1.csv,CNN,High Load,1.0,1089.6403789520264
2025-09-06 13:00:25.815543,eeg_high_1.csv,CNN,High Load,1.0,1171.048641204834
2025-09-06 13:00:26.816161,eeg_high_1.csv,CNN,High Load,1.0,1000.6170272827148
2025-09-06 13:00:27.900014,eeg_high_1.csv,CNN,High Load,1.0,1083.8537216186523
2025-09-06 13:00:29.062705,eeg_high_1.csv,CNN,High Load,1.0,1162.6908779144287
2025-09-06 13:00:30.004952,eeg_high_1.csv,CNN,High Load,1.0,940.9787654876709
2025-09-06 13:00:31.170061,eeg_high_1.csv,CNN,High Load,1.0,1164.0541553497314
2025-09-06 13:00:32.237163,eeg_high_1.csv,CNN,High Load,1.0,1066.4615631103516
2025-09-06 13:00:33.201499,eeg_high_1.csv,CNN,High Load,1.0,963.7389183044434
2025-09-06 13:00:34.313437,eeg_high_1.csv,CNN,High Load,1.0,1111.9379997253418
2025-09-06 13:00:35.655053,eeg_high_1.csv,CNN,High Load,1.0,1340.5439853668213
2025-09-06 13:00:36.830103,eeg_high_1.csv,CNN,High Load,1.0,1174.0939617156982
2025-09-06 13:00:38.035321,eeg_high_1.csv,CNN,High Load,1.0,1205.2178382873535
2025-09-06 13:00:39.222556,eeg_high_1.csv,CNN,High Load,1.0,1186.1610412597656
2025-09-06 13:00:41.084712,eeg_high_1.csv,CNN,High Load,1.0,1862.1561527252197
2025-09-06 13:00:44.005742,eeg_high_1.csv,CNN,High Load,1.0,2917.433023452759
2025-09-06 13:00:46.026002,eeg_high_1.csv,CNN,High Load,1.0,2019.0157890319824
2025-09-06 13:00:46.984291,eeg_high_1.csv,CNN,High Load,1.0,957.7274322509766
2025-09-06 13:00:48.221722,eeg_high_1.csv,CNN,High Load,1.0,1237.4308109283447
2025-09-06 13:00:49.405532,eeg_high_1.csv,CNN,High Load,1.0,1182.4853420257568
2025-09-06 13:00:51.432752,eeg_high_1.csv,CNN,High Load,1.0,2026.5953540802002
2025-09-06 13:00:52.762977,eeg_high_1.csv,CNN,High Load,1.0,1330.2254676818848
2025-09-06 13:00:54.378049,eeg_high_1.csv,CNN,High Load,1.0,1615.0720119476318
2025-09-06 13:00:55.815290,eeg_high_1.csv,CNN,High Load,1.0,1437.2410774230957
2025-09-06 13:00:56.752134,eeg_high_1.csv,CNN,High Load,1.0,936.8441104888916
2025-09-06 13:00:57.965336,eeg_high_1.csv,CNN,High Load,1.0,1213.2017612457275
2025-09-06 13:00:59.647523,eeg_high_1.csv,CNN,High Load,1.0,1682.1873188018799
2025-09-06 13:01:00.881523,eeg_high_1.csv,CNN,High Load,1.0,1233.9997291564941
2025-09-06 13:01:02.158261,eeg_high_1.csv,CNN,High Load,1.0,1276.7376899719238
2025-09-06 13:01:03.476876,eeg_high_1.csv,CNN,High Load,1.0,1318.6147212982178
2025-09-06 13:01:04.790414,eeg_high_1.csv,CNN,High Load,1.0,1311.105728149414
2025-09-06 13:01:06.070390,eeg_high_1.csv,CNN,High Load,1.0,1279.3152332305908
2025-09-06 13:01:07.313101,eeg_high_1.csv,CNN,High Load,1.0,1242.711067199707
